IDStudent midterm point final 
5909650193 10 10 10 
5909650201 10 null null 
5909650219 10 10 10 
5909650268 null null null 
5909650276 null null null 
5909650318 null null null 
5909650326 null null null 
5909650359 null null null 
5909650458 null null null 
5909650474 null null null 
5909650482 null null null 
5909650508 null null null 
5909650532 null null null 
5909650540 null null null 
5909650581 null null null 
5909650805 null null null 
5909650821 null null null 
5909650847 null null null 
5909650854 null null null 
5909650862 null null null 
5909650953 null null null 
5709650690 null null null 
5909650086 null null null 
5909650177 null null null 
5909650227 null null null 
5909650441 null null null 
5909650466 null null null 
5909650557 null null null 
5909650599 null null null 
5909650623 null null null 
5909650631 null null null 
5909650656 null null null 
5909650664 0 0 0 
5909650706 null null null 
5909650714 null null null 
5909650730 null null null 
5909650748 null null null 
5909650755 null null null 
5909650771 null null null 
5909650813 null null null 
5909650870 null null null 
5909650896 null null null 
5909650904 null null null 
